level,total agents alive,average health,average stamina,average attack,average defense,average personality,average sanctioned,count selfless,count selfish,count collective
1,6,1000,2000,20,20,50,0,0,1,5
2,6,980,2040,20,20,48,0,0,0,6
3,6,963,2030,20,20,47,0,0,1,5
4,6,945,2030,20,20,46,0,0,1,5
5,6,908,2060,20,20,47,0,0,2,4
6,6,889,2070,20,20,49,0,1,1,4
7,6,877,2080,20,20,49,0,0,1,5
8,6,829,2060,20,20,49,0,0,0,6
9,6,818,2090,20,20,51,0,0,1,5
10,6,807,2100,20,20,52,0,2,1,3
11,6,767,2110,20,20,53,0,0,0,6
12,6,744,2100,20,20,52,0,0,0,6
