level,total agents alive,average health,average stamina,average attack,average defense,average personality,average sanctioned,count selfish,count selfless,count collective
1,6,1000,2000,20,20,46,0,0,1,5
2,6,982,1970,20,20,47,0,0,1,5
3,6,982,1950,20,20,47,0,0,1,5
4,6,982,1930,20,20,51,0,2,0,4
5,6,982,1910,20,20,46,0,0,2,4
6,6,963,1890,20,20,45,0,0,2,4
7,6,946,1890,20,20,44,0,0,2,4
8,6,895,1870,20,20,43,0,0,2,4
9,6,886,1910,20,20,44,0,0,2,4
10,6,866,1900,20,20,44,0,0,2,4
11,6,839,1900,20,20,47,0,1,1,4
12,6,784,1890,20,20,45,0,0,2,4
13,6,728,1910,20,20,43,0,0,2,4
14,6,660,1960,20,20,43,0,0,2,4
15,6,546,2120,20,20,42,0,0,2,4
16,6,464,2270,20,20,43,0,0,2,4
17,1,282,2800,20,20,0,0,0,0,0
